CIN,COMPANY_NAME,CHANGE_TYPE,FIELD_CHANGED,OLD_VALUE,NEW_VALUE,DATE,STATE,STATUS
U44751MH2024PTC472273,TEST COMPANY 2_0 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251021,Delhi,Active
U35421MH2024PTC128209,TEST COMPANY 2_1 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251021,Gujarat,Active
U98538MH2024PTC406636,TEST COMPANY 2_2 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251021,Maharashtra,Active
U91606MH2024PTC143053,TEST COMPANY 2_3 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251021,Delhi,Active
U41321MH2024PTC766193,TEST COMPANY 2_4 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251021,Delhi,Active
L71419TN2010PLC620267,INVESTMENTS CONSULTANCY OPC PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,30308045.0,46853488.23960304,20251021,,
L71419TN2010PLC620267,INVESTMENTS CONSULTANCY OPC PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,20401176.0,27493068.51419389,20251021,,
U56241MH2014OPC473326,HEALTHCARE REALTY PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,28770207.0,53992630.42853586,20251021,,
U56241MH2014OPC473326,HEALTHCARE REALTY PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,16879331.0,21968964.519451573,20251021,,
U30832TN2016OPC462020,INNOVATIONS GLOBAL OPC PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,30742337.0,35692142.60822168,20251021,,
U30832TN2016OPC462020,INNOVATIONS GLOBAL OPC PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,13656511.0,14655742.1151821,20251021,,
L78740KA2007OPC787937,VENTURES CORPORATIONS SOLUTIONS LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,23182543.0,30029472.026573155,20251021,,
L78740KA2007OPC787937,VENTURES CORPORATIONS SOLUTIONS LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,19942891.0,24824757.01804159,20251021,,
L43063GJ2002OPC893676,TECH PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,32204064.0,44574921.66843268,20251021,,
L43063GJ2002OPC893676,TECH PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,295259.0,326164.0777368666,20251021,,
U90436DL2013PLC544133,SOLUTIONS INTERNATIONAL SERVICES PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,9321422.0,16009367.951758394,20251021,,
U90436DL2013PLC544133,SOLUTIONS INTERNATIONAL SERVICES PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,4490946.0,6460994.684813603,20251021,,
L45252KA2006OPC974814,ENTERPRISES INNOVATIONS PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,11960882.0,13490389.842139456,20251021,,
L45252KA2006OPC974814,ENTERPRISES INNOVATIONS PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,1599179.0,2263766.0834934902,20251021,,
