CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
U59371DL2009PLC523188,HEALTHCARE INTERNATIONAL INDUSTRIES LIMITED,One Person Company,Company limited by shares,Non-govt company,26/01/2009,19152193,17205457,Active,CONSTRUCTION,"A-101, Anna Salai, Borivali, Delhi - 409931",ROC-DELHI
U11549DL2017OPC629520,DEVELOPERS TEXTILES ENTERPRISES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,21/07/2017,15180457,24519929,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, MG Road, Adyar, Delhi - 521784",ROC-DELHI
U79955DL2015PTC574626,CONSTRUCTIONS INNOVATIONS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,01/02/2015,23869287,2074361,Strike Off,MANUFACTURING (CHEMICALS),"A-101, Anna Salai, Adyar, Delhi - 470874",ROC-DELHI
L69993DL2008PLC884989,FOODS EXPORTS INVESTMENTS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,08/12/2008,21257357,4916905,Active,EDUCATION,"B-202, MG Road, Whitefield, Delhi - 428223",ROC-DELHI
L71525DL2014PTC554569,VENTURES HEALTHCARE PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,24/01/2014,16009921,13076716,Active,EDUCATION,"B-202, Link Road, Andheri, Delhi - 530903",ROC-DELHI
U61316DL2009PLC353636,GLOBAL PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,12/12/2009,28735821,10505184,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"C-303, Brigade Road, Whitefield, Delhi - 403759",ROC-DELHI
U31763DL2008OPC451689,GLOBAL INDUSTRIES EXPORTS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,11/07/2008,33247478,12272564,Dissolved,RETAIL TRADE,"C-303, Link Road, Andheri, Delhi - 470014",ROC-DELHI
U37004DL2018PLC981587,DEVELOPERS CORPORATIONS LIMITED,Private,Company limited by shares,Non-govt company,12/09/2018,20527256,2686397,Dissolved,REAL ESTATE ACTIVITIES,"E-505, Link Road, Borivali, Delhi - 403549",ROC-DELHI
U63222DL2018PLC738615,REALTY CONSTRUCTIONS TECH PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,03/05/2018,35530644,12801887,Active,MANUFACTURING (FOOD PRODUCTS),"E-505, MG Road, Adyar, Delhi - 508491",ROC-DELHI
U16047DL2010OPC120468,CAPITAL MANUFACTURING OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,05/06/2010,37860047,23839792,Under Liquidation,EDUCATION,"B-202, Anna Salai, Whitefield, Delhi - 496502",ROC-DELHI
U90201DL2023PLC385618,INTERNATIONAL SERVICES LIMITED,One Person Company,Company limited by guarantee,Non-govt company,16/10/2023,38913099,13874519,Active,INFORMATION SERVICE ACTIVITIES,"E-505, Park Street, Andheri, Delhi - 544835",ROC-DELHI
L94109DL2002PTC198884,DEVELOPERS INVESTMENTS EXPORTS LIMITED,Public,Company limited by guarantee,Non-govt company,02/06/2002,38339346,9274664,Dissolved,WHOLESALE TRADE,"A-101, Anna Salai, Satellite, Delhi - 407497",ROC-DELHI
L19245DL2016PTC905954,TECH CONSTRUCTIONS REALTY PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,26/03/2016,21899427,1468597,Active,MANUFACTURING (CHEMICALS),"B-202, MG Road, Andheri, Delhi - 536540",ROC-DELHI
L53921DL2002OPC178559,IMPORTS VENTURES FINANCE PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,07/09/2002,27852188,23315304,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Park Street, Whitefield, Delhi - 557626",ROC-DELHI
U61896DL2014OPC870462,FINANCE OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,20/01/2014,11853245,21058633,Amalgamated,RETAIL TRADE,"C-303, Anna Salai, Adyar, Delhi - 511316",ROC-DELHI
U80027DL2004PTC661165,CONSTRUCTIONS SOLUTIONS HEALTHCARE LIMITED,Public,Unlimited Company,Non-govt company,13/02/2004,3772461,23527102,Active,REAL ESTATE ACTIVITIES,"E-505, Anna Salai, Whitefield, Delhi - 490646",ROC-DELHI
L70054DL2012OPC134255,TECHNOLOGIES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,11/12/2012,37141257,13602978,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Anna Salai, Andheri, Delhi - 531940",ROC-DELHI
