CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L83707GJ2023PTC183996,MANUFACTURING VENTURES PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,27/06/2023,41471653,12815740,Active,RETAIL TRADE,"C-303, Link Road, Adyar, Gujarat - 503539",ROC-AHMEDABAD
U72395GJ2002PLC970720,SERVICES EXPORTS TRADING OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,17/11/2002,8713116,23352853,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Brigade Road, Andheri, Gujarat - 558738",ROC-AHMEDABAD
U94029GJ2012PLC194427,FOODS VENTURES IMPORTS OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,29/04/2012,26819924,18449627,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"D-404, MG Road, Whitefield, Gujarat - 443073",ROC-AHMEDABAD
U86599GJ2000OPC240378,EXPORTS TEXTILES SOLUTIONS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,15/12/2000,39702586,11335926,Amalgamated,INFORMATION SERVICE ACTIVITIES,"B-202, Link Road, Whitefield, Gujarat - 439082",ROC-AHMEDABAD
U41304GJ2004PLC160661,CONSULTANCY ENTERPRISES LIMITED,Public,Company limited by guarantee,State Govt company,22/12/2004,5989650,1696412,Active,MANUFACTURING (FOOD PRODUCTS),"E-505, Anna Salai, Whitefield, Gujarat - 506258",ROC-AHMEDABAD
U21950GJ2014PTC870892,TECHNOLOGIES GLOBAL TEXTILES LIMITED,One Person Company,Unlimited Company,State Govt company,19/01/2014,1836052,12959358,Dissolved,RETAIL TRADE,"A-101, Link Road, Satellite, Gujarat - 484846",ROC-AHMEDABAD
U50469GJ2020PTC159676,TRADING TEXTILES OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,15/10/2020,30967768,14258240,Strike Off,REAL ESTATE ACTIVITIES,"D-404, Link Road, Adyar, Gujarat - 476432",ROC-AHMEDABAD
L92604GJ2005PLC846407,TECH PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,15/11/2005,46575071,16028049,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Park Street, Andheri, Gujarat - 459122",ROC-AHMEDABAD
L62180GJ2016OPC617214,SERVICES GLOBAL INDIA PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,06/05/2016,9191078,12059916,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"D-404, Brigade Road, Borivali, Gujarat - 534062",ROC-AHMEDABAD
U30950GJ2007PTC368963,INDIA TRADING SERVICES LIMITED,Private,Company limited by shares,Non-govt company,30/06/2007,47703603,19277782,Dissolved,MANUFACTURING (FOOD PRODUCTS),"C-303, MG Road, Andheri, Gujarat - 559525",ROC-AHMEDABAD
U25485GJ2007PLC435873,CHEMICALS FOODS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,19/12/2007,42586043,2140514,Dissolved,MANUFACTURING (FOOD PRODUCTS),"E-505, Anna Salai, Borivali, Gujarat - 412099",ROC-AHMEDABAD
L16358GJ2024OPC930737,EXPORTS IMPORTS CHEMICALS PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,09/09/2024,42364793,2164828,Strike Off,CONSTRUCTION,"D-404, Brigade Road, Andheri, Gujarat - 521892",ROC-AHMEDABAD
U45975GJ2014PTC591528,REALTY INTERNATIONAL VENTURES PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,14/12/2014,35234311,24019707,Amalgamated,MANUFACTURING (TEXTILES),"E-505, MG Road, Satellite, Gujarat - 537706",ROC-AHMEDABAD
U64464GJ2009PTC933821,TECH VENTURES LIMITED,Public,Company limited by guarantee,State Govt company,06/08/2009,14974391,6553538,Strike Off,COMPUTER PROGRAMMING,"E-505, Park Street, Satellite, Gujarat - 509992",ROC-AHMEDABAD
U46325GJ2002PLC841792,TEXTILES SERVICES PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,24/07/2002,24623492,4091101,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Park Street, Satellite, Gujarat - 448329",ROC-AHMEDABAD
U68589GJ2023OPC726140,INTERNATIONAL OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,25/02/2023,26218496,4474858,Strike Off,WHOLESALE TRADE,"E-505, MG Road, Satellite, Gujarat - 551096",ROC-AHMEDABAD
L17927GJ2001PTC797689,INVESTMENTS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,04/09/2001,16411032,11040449,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"B-202, Link Road, Andheri, Gujarat - 450970",ROC-AHMEDABAD
U40217GJ2007OPC110125,CHEMICALS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,13/06/2007,7950164,20652347,Dissolved,MANUFACTURING (CHEMICALS),"E-505, Anna Salai, Adyar, Gujarat - 406302",ROC-AHMEDABAD
L26757GJ2004PLC538009,SYSTEMS INTERNATIONAL LIMITED,One Person Company,Unlimited Company,State Govt company,02/06/2004,1802865,19700650,Amalgamated,MANUFACTURING (TEXTILES),"E-505, MG Road, Andheri, Gujarat - 474404",ROC-AHMEDABAD
L49010GJ2022PTC295004,CHEMICALS INTERNATIONAL DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,27/03/2022,30906530,10823226,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, Park Street, Satellite, Gujarat - 473513",ROC-AHMEDABAD
L16128GJ2021PTC782700,MANUFACTURING OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,12/11/2021,19484125,17704471,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Park Street, Satellite, Gujarat - 541315",ROC-AHMEDABAD
U79647GJ2012PTC331898,VENTURES CONSULTANCY EDUCATION OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,28/03/2012,14705109,20992811,Strike Off,REAL ESTATE ACTIVITIES,"E-505, MG Road, Andheri, Gujarat - 520907",ROC-AHMEDABAD
U74990GJ2015PTC436388,INDUSTRIES INVESTMENTS LIMITED,One Person Company,Company limited by shares,Non-govt company,16/10/2015,11588068,22137518,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"D-404, Park Street, Borivali, Gujarat - 427907",ROC-AHMEDABAD
U14575GJ2014PLC999596,CORPORATIONS MANUFACTURING REALTY LIMITED,Private,Company limited by shares,Non-govt company,01/03/2014,43864894,22962438,Strike Off,FINANCIAL SERVICE ACTIVITIES,"C-303, Park Street, Whitefield, Gujarat - 542665",ROC-AHMEDABAD
U35767GJ2012PTC438525,IMPORTS EXPORTS SERVICES OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,30/05/2012,18111072,20707831,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"C-303, MG Road, Adyar, Gujarat - 448335",ROC-AHMEDABAD
U29479GJ2024PTC994110,GLOBAL IMPORTS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,11/01/2024,46938013,14160902,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"C-303, MG Road, Adyar, Gujarat - 527325",ROC-AHMEDABAD
L66141GJ2009PTC809582,CAPITAL INTERNATIONAL LIMITED,One Person Company,Unlimited Company,State Govt company,12/08/2009,20789696,14022622,Amalgamated,EDUCATION,"E-505, Park Street, Satellite, Gujarat - 444797",ROC-AHMEDABAD
U19851GJ2005PLC529941,DEVELOPERS OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,15/02/2005,627695,7371601,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"A-101, Park Street, Andheri, Gujarat - 520535",ROC-AHMEDABAD
