CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L85967KA2019PLC756382,SYSTEMS PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,03/10/2019,25100109,11921313,Under Liquidation,MANUFACTURING (TEXTILES),"E-505, Link Road, Andheri, Karnataka - 547928",ROC-BANGALORE
L57300KA2015OPC400981,MANUFACTURING FINANCE PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,09/09/2015,41110114,17269083,Dissolved,WHOLESALE TRADE,"B-202, Anna Salai, Satellite, Karnataka - 456642",ROC-BANGALORE
L17286KA2017OPC136192,PHARMA TECHNOLOGIES PRIVATE LIMITED,Private,Company limited by shares,State Govt company,26/08/2017,37847601,13061384,Under Liquidation,CONSTRUCTION,"E-505, Link Road, Whitefield, Karnataka - 468583",ROC-BANGALORE
U65837KA2000PTC655376,SOLUTIONS LIMITED,One Person Company,Unlimited Company,Non-govt company,07/07/2000,5025846,14145843,Active,RETAIL TRADE,"A-101, Park Street, Andheri, Karnataka - 528733",ROC-BANGALORE
L91757KA2015PLC849905,TRADING PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,13/09/2015,31564793,12446518,Amalgamated,RETAIL TRADE,"D-404, Link Road, Andheri, Karnataka - 402970",ROC-BANGALORE
U59127KA2015PTC529565,TEXTILES PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,17/12/2015,46804177,9147010,Active,MANUFACTURING (FOOD PRODUCTS),"E-505, Link Road, Whitefield, Karnataka - 447696",ROC-BANGALORE
L95529KA2023PTC729453,INDIA SOLUTIONS EXPORTS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,05/03/2023,35911094,3401227,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"D-404, Anna Salai, Adyar, Karnataka - 513063",ROC-BANGALORE
U55385KA2011PTC832057,CORPORATIONS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,30/12/2011,41566920,18394239,Active,MANUFACTURING (CHEMICALS),"D-404, Anna Salai, Whitefield, Karnataka - 448412",ROC-BANGALORE
U16270KA2019PTC646055,TRADING CONSTRUCTIONS GLOBAL LIMITED,Public,Unlimited Company,Non-govt company,15/01/2019,40187141,10503623,Strike Off,WHOLESALE TRADE,"C-303, Anna Salai, Borivali, Karnataka - 540670",ROC-BANGALORE
L36096KA2023PTC446563,ENTERPRISES PRIVATE LIMITED,Public,Unlimited Company,State Govt company,29/09/2023,32005489,4030847,Active,EDUCATION,"C-303, Anna Salai, Satellite, Karnataka - 417291",ROC-BANGALORE
