CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
U71960MH2006OPC500953,PHARMA CAPITAL INNOVATIONS PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,02/07/2006,21029366,9639061,Dissolved,CONSTRUCTION,"C-303, MG Road, Andheri, Maharashtra - 422664",ROC-MUMBAI
L62680MH2020PTC662586,INTERNATIONAL TEXTILES DEVELOPERS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,03/04/2020,10979878,22808232,Active,CONSTRUCTION,"D-404, MG Road, Adyar, Maharashtra - 454187",ROC-MUMBAI
L60655MH2002OPC794242,EDUCATION GLOBAL CHEMICALS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,08/02/2002,19586931,8843151,Dissolved,MANUFACTURING (FOOD PRODUCTS),"D-404, MG Road, Andheri, Maharashtra - 421472",ROC-MUMBAI
U60013MH2005PTC410002,TRADING CONSULTANCY IMPORTS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,19/03/2005,34292810,7699143,Under Liquidation,MANUFACTURING (TEXTILES),"A-101, Anna Salai, Whitefield, Maharashtra - 532322",ROC-MUMBAI
L67817MH2000PTC380007,INTERNATIONAL TECH PRIVATE LIMITED,Private,Unlimited Company,State Govt company,24/01/2000,49525024,8896123,Active,MANUFACTURING (CHEMICALS),"C-303, Anna Salai, Satellite, Maharashtra - 557772",ROC-MUMBAI
U65975MH2010OPC707317,TEXTILES DEVELOPERS LIMITED,One Person Company,Company limited by shares,State Govt company,18/08/2010,35586432,3283524,Amalgamated,MANUFACTURING (TEXTILES),"B-202, MG Road, Whitefield, Maharashtra - 426096",ROC-MUMBAI
L22128MH2000PLC909724,SOLUTIONS ENTERPRISES OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,08/11/2000,43165231,9635517,Dissolved,MANUFACTURING (FOOD PRODUCTS),"B-202, MG Road, Andheri, Maharashtra - 484342",ROC-MUMBAI
U42097MH2008OPC603826,SERVICES LIMITED,One Person Company,Company limited by guarantee,State Govt company,29/01/2008,10168063,2664807,Active,HUMAN HEALTH AND SOCIAL WORK,"D-404, Brigade Road, Whitefield, Maharashtra - 447409",ROC-MUMBAI
U22866MH2013PLC188649,TRADING SOLUTIONS DEVELOPERS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,15/10/2013,33298520,21402633,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"D-404, Link Road, Borivali, Maharashtra - 420142",ROC-MUMBAI
L96479MH2005OPC864605,GLOBAL EXPORTS CONSTRUCTIONS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,30/12/2005,34473666,1178939,Under Liquidation,EDUCATION,"D-404, Anna Salai, Whitefield, Maharashtra - 515719",ROC-MUMBAI
U82907MH2007OPC203433,INNOVATIONS ENTERPRISES DEVELOPERS OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,17/09/2007,6944577,19338637,Amalgamated,MANUFACTURING (CHEMICALS),"E-505, Park Street, Adyar, Maharashtra - 469072",ROC-MUMBAI
L65491MH2008PLC933353,EXPORTS INNOVATIONS MANUFACTURING OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,31/07/2008,3996203,843624,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Brigade Road, Andheri, Maharashtra - 479962",ROC-MUMBAI
U69483MH2015PTC371292,FINANCE LIMITED,Public,Unlimited Company,State Govt company,08/07/2015,27767474,12329407,Active,MANUFACTURING (CHEMICALS),"C-303, Anna Salai, Andheri, Maharashtra - 471553",ROC-MUMBAI
L23265MH2015PLC195837,EDUCATION FOODS PRIVATE LIMITED,Private,Company limited by shares,State Govt company,06/07/2015,21817115,3496140,Active,MANUFACTURING (TEXTILES),"D-404, Link Road, Borivali, Maharashtra - 471539",ROC-MUMBAI
L13379MH2014PTC472442,TECH PHARMA OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,30/08/2014,38365778,8220713,Active,FINANCIAL SERVICE ACTIVITIES,"B-202, Anna Salai, Adyar, Maharashtra - 542111",ROC-MUMBAI
U79978MH2005OPC798778,CAPITAL EDUCATION PRIVATE LIMITED,Public,Company limited by shares,State Govt company,11/05/2005,36974316,6864742,Amalgamated,WHOLESALE TRADE,"A-101, Brigade Road, Adyar, Maharashtra - 405939",ROC-MUMBAI
L82547MH2019OPC323925,TRADING PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,06/12/2019,24201815,19517869,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"A-101, MG Road, Whitefield, Maharashtra - 474214",ROC-MUMBAI
L28932MH2012PLC404783,TEXTILES CAPITAL PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,24/08/2012,17871158,14094479,Strike Off,ACCOMMODATION AND FOOD SERVICE,"B-202, Anna Salai, Borivali, Maharashtra - 498841",ROC-MUMBAI
U48068MH2004PLC427158,MANUFACTURING PHARMA INDUSTRIES LIMITED,Public,Company limited by shares,State Govt company,16/01/2004,36480803,9944169,Active,ACCOMMODATION AND FOOD SERVICE,"B-202, MG Road, Satellite, Maharashtra - 455371",ROC-MUMBAI
L19244MH2014PTC126960,SOLUTIONS PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,15/05/2014,4059180,7219855,Amalgamated,MANUFACTURING (TEXTILES),"E-505, Brigade Road, Adyar, Maharashtra - 455953",ROC-MUMBAI
L87179MH2006OPC261249,EDUCATION OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,06/07/2006,39349230,4419368,Dissolved,INFORMATION SERVICE ACTIVITIES,"A-101, Brigade Road, Borivali, Maharashtra - 421743",ROC-MUMBAI
U88220MH2021PLC239375,FINANCE IMPORTS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,21/01/2021,722585,1235214,Under Liquidation,MANUFACTURING (TEXTILES),"D-404, Brigade Road, Adyar, Maharashtra - 476316",ROC-MUMBAI
L83967MH2006PTC903631,CONSULTANCY CHEMICALS CONSTRUCTIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,19/07/2006,19091423,21561405,Amalgamated,MANUFACTURING (CHEMICALS),"C-303, Park Street, Andheri, Maharashtra - 413815",ROC-MUMBAI
U41266MH2015PTC144736,VENTURES SERVICES ENTERPRISES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,30/08/2015,35455682,3207854,Dissolved,REAL ESTATE ACTIVITIES,"C-303, Anna Salai, Satellite, Maharashtra - 461395",ROC-MUMBAI
L38883MH2014PLC352738,CAPITAL OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,15/12/2014,30904052,18777127,Amalgamated,MANUFACTURING (TEXTILES),"D-404, Brigade Road, Adyar, Maharashtra - 415827",ROC-MUMBAI
U35713MH2018PLC521309,CAPITAL OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,15/09/2018,8353772,10498135,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Anna Salai, Whitefield, Maharashtra - 551910",ROC-MUMBAI
