CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L48450TN2007PLC873539,GLOBAL LIMITED,Public,Company limited by shares,State Govt company,08/07/2007,39438993,3936228,Amalgamated,RETAIL TRADE,"B-202, Brigade Road, Adyar, Tamil Nadu - 532014",ROC-CHENNAI
U46479TN2018PLC587843,IMPORTS LIMITED,Public,Unlimited Company,Non-govt company,07/11/2018,3452929,15361219,Active,MANUFACTURING (CHEMICALS),"E-505, Link Road, Satellite, Tamil Nadu - 553221",ROC-CHENNAI
U98026TN2018PLC743072,DEVELOPERS PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,20/06/2018,3119906,1452036,Under Liquidation,CONSTRUCTION,"B-202, Anna Salai, Adyar, Tamil Nadu - 476087",ROC-CHENNAI
U67307TN2014PLC147966,PHARMA ENTERPRISES TECH PRIVATE LIMITED,Private,Company limited by shares,State Govt company,24/01/2014,7202889,22067447,Dissolved,RETAIL TRADE,"D-404, Anna Salai, Adyar, Tamil Nadu - 404330",ROC-CHENNAI
U20664TN2006PTC418122,REALTY LIMITED,Private,Company limited by guarantee,State Govt company,18/12/2006,1504274,21292875,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"E-505, Brigade Road, Adyar, Tamil Nadu - 433991",ROC-CHENNAI
U80288TN2016PLC602671,TECHNOLOGIES PHARMA PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,10/03/2016,27178110,17225806,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"E-505, MG Road, Adyar, Tamil Nadu - 404433",ROC-CHENNAI
U79397TN2012OPC888154,HEALTHCARE PRIVATE LIMITED,Public,Unlimited Company,State Govt company,25/09/2012,17134595,8859283,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Brigade Road, Adyar, Tamil Nadu - 501768",ROC-CHENNAI
L67800TN2001OPC688097,FOODS INVESTMENTS INTERNATIONAL OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,10/11/2001,7678594,16892989,Active,ACCOMMODATION AND FOOD SERVICE,"D-404, Park Street, Borivali, Tamil Nadu - 450536",ROC-CHENNAI
L84038TN2016OPC248668,FINANCE LIMITED,One Person Company,Company limited by shares,Non-govt company,05/12/2016,39391949,12811913,Active,RETAIL TRADE,"A-101, MG Road, Whitefield, Tamil Nadu - 492206",ROC-CHENNAI
U59820TN2024PTC271658,INNOVATIONS TECH INVESTMENTS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,30/10/2024,18830011,1129545,Under Liquidation,EDUCATION,"A-101, MG Road, Adyar, Tamil Nadu - 419591",ROC-CHENNAI
