ROC_CODE,CIN,PRINCIPAL_BUSINESS_ACTIVITY,STATE,COMPANY_SUB_CATEGORY,AUTHORIZED_CAPITAL,COMPANY_NAME,REGISTERED_OFFICE_ADDRESS,PAIDUP_CAPITAL,COMPANY_CATEGORY,DATE_OF_INCORPORATION,COMPANY_CLASS,COMPANY_STATUS,DATA_QUALITY_SCORE,LAST_UPDATED,RECORD_ID,INTEGRATION_DATE,SOURCE
ROC-MUMBAI,U71960MH2006OPC500953,CONSTRUCTION,Maharashtra,State Govt company,21029366.0,PHARMA CAPITAL INNOVATIONS PRIVATE LIMITED,"C-303, MG Road, Andheri, Maharashtra - 422664",9639061.0,Company limited by shares,2006-07-02,One Person Company,DISSOLVED,1.0,2025-10-19 09:59:14.937659,3d290ce99a,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L62680MH2020PTC662586,CONSTRUCTION,Maharashtra,Non-govt company,10979878.0,INTERNATIONAL TEXTILES DEVELOPERS PRIVATE LIMITED,"D-404, MG Road, Adyar, Maharashtra - 454187",22808232.0,Unlimited Company,2020-04-03,Public,ACTIVE,1.0,2025-10-19 09:59:14.937659,2f08838c0a,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L60655MH2002OPC794242,MANUFACTURING (FOOD PRODUCTS),Maharashtra,State Govt company,19586931.0,EDUCATION GLOBAL CHEMICALS PRIVATE LIMITED,"D-404, MG Road, Andheri, Maharashtra - 421472",8843151.0,Unlimited Company,2002-02-08,Public,DISSOLVED,1.0,2025-10-19 09:59:14.937659,e2e8eb18fd,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U60013MH2005PTC410002,MANUFACTURING (TEXTILES),Maharashtra,Non-govt company,34292810.0,TRADING CONSULTANCY IMPORTS LIMITED,"A-101, Anna Salai, Whitefield, Maharashtra - 532322",7699143.0,Company limited by guarantee,2005-03-19,One Person Company,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,8daddf5577,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L67817MH2000PTC380007,MANUFACTURING (CHEMICALS),Maharashtra,State Govt company,49525024.0,INTERNATIONAL TECH PRIVATE LIMITED,"C-303, Anna Salai, Satellite, Maharashtra - 557772",8896123.0,Unlimited Company,2000-01-24,Private,ACTIVE,1.0,2025-10-19 09:59:14.937659,d80cbd4c47,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U65975MH2010OPC707317,MANUFACTURING (TEXTILES),Maharashtra,State Govt company,35586432.0,TEXTILES DEVELOPERS LIMITED,"B-202, MG Road, Whitefield, Maharashtra - 426096",3283524.0,Company limited by shares,2010-08-18,One Person Company,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,d5923b664c,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L22128MH2000PLC909724,MANUFACTURING (FOOD PRODUCTS),Maharashtra,Non-govt company,43165231.0,SOLUTIONS ENTERPRISES OPC PRIVATE LIMITED,"B-202, MG Road, Andheri, Maharashtra - 484342",9635517.0,Company limited by guarantee,2000-11-08,Private,DISSOLVED,1.0,2025-10-19 09:59:14.937659,6759057507,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U42097MH2008OPC603826,HUMAN HEALTH AND SOCIAL WORK,Maharashtra,State Govt company,10168063.0,SERVICES LIMITED,"D-404, Brigade Road, Whitefield, Maharashtra - 447409",2664807.0,Company limited by guarantee,2008-01-29,One Person Company,ACTIVE,1.0,2025-10-19 09:59:14.937659,b0e03d095b,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U22866MH2013PLC188649,ACCOMMODATION AND FOOD SERVICE,Maharashtra,Non-govt company,33298520.0,TRADING SOLUTIONS DEVELOPERS PRIVATE LIMITED,"D-404, Link Road, Borivali, Maharashtra - 420142",21402633.0,Company limited by guarantee,2013-10-15,Private,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,671c4155d0,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L96479MH2005OPC864605,EDUCATION,Maharashtra,Non-govt company,34473666.0,GLOBAL EXPORTS CONSTRUCTIONS OPC PRIVATE LIMITED,"D-404, Anna Salai, Whitefield, Maharashtra - 515719",1178939.0,Company limited by guarantee,2005-12-30,One Person Company,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,471c6510c0,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U82907MH2007OPC203433,MANUFACTURING (CHEMICALS),Maharashtra,Non-govt company,6944577.0,INNOVATIONS ENTERPRISES DEVELOPERS OPC PRIVATE LIMITED,"E-505, Park Street, Adyar, Maharashtra - 469072",19338637.0,Company limited by guarantee,2007-09-17,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,e4a0b811ba,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L65491MH2008PLC933353,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Maharashtra,State Govt company,3996203.0,EXPORTS INNOVATIONS MANUFACTURING OPC PRIVATE LIMITED,"D-404, Brigade Road, Andheri, Maharashtra - 479962",843624.0,Unlimited Company,2008-07-31,One Person Company,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,b59345cfdf,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U69483MH2015PTC371292,MANUFACTURING (CHEMICALS),Maharashtra,State Govt company,27767474.0,FINANCE LIMITED,"C-303, Anna Salai, Andheri, Maharashtra - 471553",12329407.0,Unlimited Company,2015-07-08,Public,ACTIVE,1.0,2025-10-19 09:59:14.937659,00228e011a,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L23265MH2015PLC195837,MANUFACTURING (TEXTILES),Maharashtra,State Govt company,21817115.0,EDUCATION FOODS PRIVATE LIMITED,"D-404, Link Road, Borivali, Maharashtra - 471539",3496140.0,Company limited by shares,2015-07-06,Private,ACTIVE,1.0,2025-10-19 09:59:14.937659,1c73b1947d,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L13379MH2014PTC472442,FINANCIAL SERVICE ACTIVITIES,Maharashtra,Non-govt company,38365778.0,TECH PHARMA OPC PRIVATE LIMITED,"B-202, Anna Salai, Adyar, Maharashtra - 542111",8220713.0,Company limited by guarantee,2014-08-30,Public,ACTIVE,1.0,2025-10-19 09:59:14.937659,10ed700481,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U79978MH2005OPC798778,WHOLESALE TRADE,Maharashtra,State Govt company,36974316.0,CAPITAL EDUCATION PRIVATE LIMITED,"A-101, Brigade Road, Adyar, Maharashtra - 405939",6864742.0,Company limited by shares,2005-05-11,Public,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,82035a47c0,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L82547MH2019OPC323925,MANUFACTURING (FOOD PRODUCTS),Maharashtra,Non-govt company,24201815.0,TRADING PRIVATE LIMITED,"A-101, MG Road, Whitefield, Maharashtra - 474214",19517869.0,Unlimited Company,2019-12-06,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,849badbdd7,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L28932MH2012PLC404783,ACCOMMODATION AND FOOD SERVICE,Maharashtra,Non-govt company,17871158.0,TEXTILES CAPITAL PRIVATE LIMITED,"B-202, Anna Salai, Borivali, Maharashtra - 498841",14094479.0,Company limited by shares,2012-08-24,Public,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,b3d36e66d0,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U48068MH2004PLC427158,ACCOMMODATION AND FOOD SERVICE,Maharashtra,State Govt company,36480803.0,MANUFACTURING PHARMA INDUSTRIES LIMITED,"B-202, MG Road, Satellite, Maharashtra - 455371",9944169.0,Company limited by shares,2004-01-16,Public,ACTIVE,1.0,2025-10-19 09:59:14.937659,f35f2f7e03,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L19244MH2014PTC126960,MANUFACTURING (TEXTILES),Maharashtra,State Govt company,4059180.0,SOLUTIONS PRIVATE LIMITED,"E-505, Brigade Road, Adyar, Maharashtra - 455953",7219855.0,Company limited by shares,2014-05-15,One Person Company,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,645ba3e7d5,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L87179MH2006OPC261249,INFORMATION SERVICE ACTIVITIES,Maharashtra,State Govt company,39349230.0,EDUCATION OPC PRIVATE LIMITED,"A-101, Brigade Road, Borivali, Maharashtra - 421743",4419368.0,Company limited by guarantee,2006-07-06,Private,DISSOLVED,1.0,2025-10-19 09:59:14.937659,7114217670,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U88220MH2021PLC239375,MANUFACTURING (TEXTILES),Maharashtra,State Govt company,722585.0,FINANCE IMPORTS PRIVATE LIMITED,"D-404, Brigade Road, Adyar, Maharashtra - 476316",1235214.0,Company limited by guarantee,2021-01-21,One Person Company,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,a11c8819cc,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L83967MH2006PTC903631,MANUFACTURING (CHEMICALS),Maharashtra,State Govt company,19091423.0,CONSULTANCY CHEMICALS CONSTRUCTIONS PRIVATE LIMITED,"C-303, Park Street, Andheri, Maharashtra - 413815",21561405.0,Company limited by guarantee,2006-07-19,One Person Company,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,b45e5cc284,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U41266MH2015PTC144736,REAL ESTATE ACTIVITIES,Maharashtra,State Govt company,35455682.0,VENTURES SERVICES ENTERPRISES PRIVATE LIMITED,"C-303, Anna Salai, Satellite, Maharashtra - 461395",3207854.0,Company limited by guarantee,2015-08-30,One Person Company,DISSOLVED,1.0,2025-10-19 09:59:14.937659,e8ca36c378,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L38883MH2014PLC352738,MANUFACTURING (TEXTILES),Maharashtra,Non-govt company,30904052.0,CAPITAL OPC PRIVATE LIMITED,"D-404, Brigade Road, Adyar, Maharashtra - 415827",18777127.0,Unlimited Company,2014-12-15,One Person Company,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,72a3dfefae,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U35713MH2018PLC521309,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Maharashtra,State Govt company,8353772.0,CAPITAL OPC PRIVATE LIMITED,"A-101, Anna Salai, Whitefield, Maharashtra - 551910",10498135.0,Company limited by shares,2018-09-15,One Person Company,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,0f7e84e2aa,2025-10-19 09:59:15.005901,MCA_MASTER
